기준연도,자치구명,행정동코드,행정동명,convenience_count,grocery_count,pharmacy_count,medical_count,total_infra_count,infra_score,CDI,CDI_rank,CDI_grade
2021,동대문구,11230536,용신동,2.0,12.0,0.0,2.0,16.0,0.0058,0.9942,1,5
2021,강남구,11680660,개포1동,1.0,9.0,1.0,5.0,16.0,0.0074,0.9926,2,5
2021,종로구,11110690,창신3동,4.0,9.0,1.0,1.0,15.0,0.0095,0.9905,3,5
2021,서초구,11650550,반포본동,4.0,14.0,1.0,3.0,22.0,0.0133,0.9867,4,5
2021,용산구,11170640,이촌2동,6.0,9.0,1.0,3.0,19.0,0.0135,0.9865,5,5
2021,성동구,11200580,응봉동,2.0,12.0,2.0,6.0,22.0,0.014,0.986,6,5
2021,노원구,11350720,상계10동,5.0,10.0,1.0,6.0,22.0,0.0143,0.9857,7,5
2021,영등포구,11560670,신길5동,7.0,16.0,0.0,4.0,27.0,0.0163,0.9837,8,5
2021,용산구,11170690,서빙고동,9.0,12.0,1.0,1.0,23.0,0.0183,0.9817,9,5
2021,송파구,11710720,잠실7동,3.0,13.0,3.0,5.0,24.0,0.0184,0.9816,10,5
2021,영등포구,11560660,신길4동,6.0,14.0,1.0,7.0,28.0,0.0185,0.9815,11,5
2021,금천구,11545680,시흥2동,2.0,10.0,4.0,8.0,24.0,0.02,0.98,12,5
2021,강동구,11740526,상일2동,7.0,5.0,3.0,6.0,21.0,0.0205,0.9795,13,5
2021,종로구,11110700,숭인1동,8.0,6.0,2.0,10.0,26.0,0.0218,0.9782,14,5
2021,중구,11140645,청구동,6.0,14.0,2.0,9.0,31.0,0.0226,0.9774,15,5
2021,양천구,11470670,신정6동,9.0,11.0,2.0,5.0,27.0,0.023,0.977,16,5
2021,종로구,11110550,부암동,11.0,11.0,1.0,5.0,28.0,0.023,0.977,16,5
2021,성북구,11290580,돈암1동,5.0,11.0,3.0,10.0,29.0,0.0231,0.9769,18,5
2021,종로구,11110600,가회동,7.0,19.0,1.0,8.0,35.0,0.0232,0.9768,19,5
2021,종로구,11110540,삼청동,7.0,21.0,1.0,7.0,36.0,0.0237,0.9763,20,5
2021,중구,11140580,장충동,13.0,8.0,1.0,5.0,27.0,0.0243,0.9757,21,5
2021,성북구,11290590,돈암2동,6.0,12.0,4.0,4.0,26.0,0.0246,0.9754,22,5
2021,노원구,11350612,하계2동,5.0,12.0,4.0,8.0,29.0,0.0254,0.9746,23,5
2021,종로구,11110570,무악동,7.0,5.0,5.0,5.0,22.0,0.0259,0.9741,24,5
2021,강서구,11500605,가양3동,9.0,7.0,3.0,9.0,28.0,0.0262,0.9738,25,5
2021,도봉구,11320681,쌍문4동,11.0,10.0,2.0,7.0,30.0,0.0266,0.9734,26,5
2021,구로구,11530520,구로1동,9.0,14.0,3.0,6.0,32.0,0.0282,0.9718,27,5
2021,관악구,11620545,청림동,6.0,16.0,4.0,8.0,34.0,0.029,0.971,28,5
2021,동작구,11590651,사당5동,11.0,9.0,3.0,7.0,30.0,0.029,0.971,28,5
2021,중랑구,11260550,면목5동,9.0,17.0,3.0,7.0,36.0,0.0304,0.9696,30,5
2021,강동구,11740550,고덕1동,9.0,22.0,2.0,11.0,44.0,0.0324,0.9676,31,5
2021,성북구,11290780,장위3동,6.0,17.0,4.0,13.0,40.0,0.0324,0.9676,31,5
2021,용산구,11170580,효창동,8.0,9.0,5.0,11.0,33.0,0.0329,0.9671,33,5
2021,강동구,11740590,암사3동,4.0,20.0,5.0,12.0,41.0,0.0335,0.9665,34,5
2021,은평구,11380650,수색동,6.0,21.0,5.0,6.0,38.0,0.0336,0.9664,35,5
2021,성동구,11200720,송정동,8.0,19.0,5.0,3.0,35.0,0.0337,0.9663,36,5
2021,성동구,11200570,행당2동,7.0,16.0,3.0,19.0,45.0,0.0338,0.9662,37,5
2021,관악구,11620715,난향동,4.0,24.0,5.0,9.0,42.0,0.034,0.966,38,5
2021,서대문구,11410655,홍제2동,7.0,14.0,5.0,13.0,39.0,0.0352,0.9648,39,5
2021,종로구,11110680,창신2동,3.0,28.0,5.0,10.0,46.0,0.0352,0.9648,39,5
2021,강동구,11740690,둔촌1동,24.0,9.0,0.0,1.0,34.0,0.0356,0.9644,41,5
2021,구로구,11530800,항동,10.0,23.0,3.0,8.0,44.0,0.0356,0.9644,41,5
2021,강북구,11305603,번2동,9.0,11.0,6.0,8.0,34.0,0.0366,0.9634,43,5
2021,성동구,11200590,금호1가동,6.0,20.0,5.0,14.0,45.0,0.0376,0.9624,44,5
2021,관악구,11620565,성현동,9.0,17.0,3.0,20.0,49.0,0.0378,0.9622,45,5
2021,용산구,11170570,원효로2동,10.0,26.0,4.0,6.0,46.0,0.0391,0.9609,46,5
2021,중구,11140665,동화동,9.0,15.0,5.0,14.0,43.0,0.0392,0.9608,47,5
2021,송파구,11710690,잠실4동,3.0,14.0,9.0,11.0,37.0,0.0402,0.9598,48,5
2021,금천구,11545690,시흥3동,11.0,15.0,6.0,6.0,38.0,0.0406,0.9594,49,5
2021,마포구,11440610,염리동,14.0,23.0,3.0,9.0,49.0,0.042,0.958,50,5
2021,용산구,11170660,이태원2동,14.0,20.0,3.0,13.0,50.0,0.0427,0.9573,51,5
2021,서대문구,11410710,북가좌1동,13.0,8.0,5.0,17.0,43.0,0.043,0.957,52,5
2021,양천구,11470570,신월2동,7.0,32.0,4.0,15.0,58.0,0.043,0.957,52,5
2021,서초구,11650570,반포2동,5.0,19.0,6.0,22.0,52.0,0.0431,0.9569,54,5
2021,종로구,11110515,청운효자동,8.0,37.0,4.0,8.0,57.0,0.0432,0.9568,55,5
2021,강북구,11305608,번3동,11.0,18.0,5.0,14.0,48.0,0.0437,0.9563,56,5
2021,송파구,11710531,거여1동,14.0,24.0,3.0,12.0,53.0,0.0442,0.9558,57,5
2021,성동구,11200520,왕십리2동,11.0,19.0,5.0,15.0,50.0,0.0448,0.9552,58,5
2021,강남구,11680675,개포3동,6.0,13.0,7.0,23.0,49.0,0.0449,0.9551,59,5
2021,중구,11140650,신당5동,10.0,17.0,5.0,20.0,52.0,0.0452,0.9548,60,5
2021,양천구,11470610,신월6동,7.0,30.0,5.0,16.0,58.0,0.0455,0.9545,61,5
2021,노원구,11350700,상계8동,5.0,12.0,7.0,28.0,52.0,0.0458,0.9542,62,5
2021,중구,11140680,중림동,11.0,22.0,5.0,14.0,52.0,0.0459,0.9541,63,5
2021,송파구,11710566,오륜동,10.0,21.0,6.0,13.0,50.0,0.0463,0.9537,64,5
2021,용산구,11170590,용문동,6.0,51.0,3.0,12.0,72.0,0.0471,0.9529,65,5
2021,종로구,11110560,평창동,12.0,23.0,5.0,13.0,53.0,0.0473,0.9527,66,5
2021,용산구,11170520,용산2가동,19.0,16.0,4.0,7.0,46.0,0.0474,0.9526,67,5
2021,중랑구,11260660,망우3동,12.0,28.0,4.0,14.0,58.0,0.0476,0.9524,68,5
2021,강서구,11500641,방화3동,16.0,15.0,5.0,11.0,47.0,0.0477,0.9523,69,5
2021,강서구,11500550,화곡2동,11.0,30.0,4.0,15.0,60.0,0.0478,0.9522,70,5
2021,노원구,11350710,상계9동,9.0,17.0,6.0,24.0,56.0,0.049,0.951,71,5
2021,금천구,11545640,독산4동,15.0,36.0,3.0,8.0,62.0,0.0498,0.9502,72,5
2021,동대문구,11230750,이문2동,9.0,28.0,6.0,15.0,58.0,0.0498,0.9502,72,5
2021,동작구,11590640,사당3동,12.0,21.0,6.0,14.0,53.0,0.0498,0.9502,72,5
