기준연도,자치구명,행정동코드,행정동명,convenience_count,grocery_count,pharmacy_count,medical_count,total_infra_count,elderly_population,weighted_infra,infra_per_1000eld,log_infra,infra_accessibility_score,CDI,CDI_rank,CDI_grade
2021,종로구,1101053,사직동,30.0,44.0,16.0,69.0,159.0,1774.0,187.5,105.69334836527621,4.6699588167701025,0.5717266708835272,0.42827332911647276,403,1
2021,종로구,1101054,삼청동,7.0,21.0,1.0,7.0,36.0,625.0,30.0,48.0,3.8918202981106265,0.4031372602314374,0.5968627397685626,344,1
2021,종로구,1101055,부암동,11.0,11.0,1.0,5.0,28.0,1802.0,26.0,14.428412874583795,2.7362108013687547,0.15276599685367923,0.8472340031463208,39,5
2021,종로구,1101056,평창동,12.0,23.0,5.0,13.0,53.0,3435.0,53.0,15.429403202328967,2.799072607733277,0.16638546772343876,0.8336145322765612,46,5
2021,종로구,1101057,무악동,7.0,5.0,5.0,5.0,22.0,1424.0,27.0,18.960674157303373,2.993764045728942,0.20856679406009432,0.7914332059399056,89,4
2021,종로구,1101058,교남동,12.0,6.0,9.0,14.0,41.0,1624.0,54.0,33.251231527093594,3.5337225210572303,0.32555275343532175,0.6744472465646782,270,2
2021,종로구,1101060,가회동,7.0,19.0,1.0,8.0,35.0,865.0,30.5,35.26011560693642,3.5907183935989644,0.3379013267689823,0.6620986732310177,280,2
2021,종로구,1101061,종로1·2·3·4가동,95.0,170.0,55.0,125.0,445.0,1500.0,477.5,318.3333333333333,5.766235489302751,0.8092430432285305,0.19075695677146953,421,1
2021,종로구,1101063,종로5·6가동,23.0,56.0,29.0,71.0,179.0,1500.0,215.5,143.66666666666666,4.974432245432295,0.6376930697527282,0.3623069302472718,413,1
2021,종로구,1101064,이화동,21.0,16.0,7.0,21.0,65.0,1360.0,74.5,54.77941176470588,4.021404836512792,0.43121269980289056,0.5687873001971094,358,1
2021,종로구,1101067,창신1동,12.0,40.0,10.0,39.0,101.0,1231.0,110.5,89.76441917140535,4.508267349464555,0.5366950299521998,0.46330497004780025,395,1
2021,종로구,1101068,창신2동,3.0,28.0,5.0,10.0,46.0,1752.0,42.0,23.972602739726028,3.217779333530272,0.2571013472814748,0.7428986527185252,164,4
2021,종로구,1101069,창신3동,4.0,9.0,1.0,1.0,15.0,1201.0,12.0,9.991673605328891,2.397138041200776,0.07930339934163821,0.9206966006583618,18,5
2021,종로구,1101070,숭인1동,8.0,6.0,2.0,10.0,26.0,1192.0,30.0,25.16778523489933,3.264529083037138,0.2672300229973012,0.7327699770026987,184,3
2021,종로구,1101071,숭인2동,25.0,33.0,3.0,13.0,74.0,1656.0,67.0,40.45893719806764,3.724703472286101,0.3669301756312031,0.6330698243687969,310,2
2021,종로구,1101072,청운효자동,8.0,37.0,4.0,8.0,57.0,2165.0,46.5,21.478060046189377,3.112539724424004,0.23430041499110668,0.7656995850088933,131,4
2021,종로구,1101073,혜화동,32.0,32.0,17.0,28.0,109.0,2695.0,124.0,46.01113172541744,3.8503844188883045,0.3941598734417733,0.6058401265582267,338,2
2021,중구,1102052,소공동,41.0,48.0,16.0,58.0,163.0,292.0,184.0,630.1369863013699,6.447522932959709,0.9568489589576022,0.04315104104239775,424,1
2021,중구,1102054,회현동,39.0,144.0,17.0,65.0,265.0,1373.0,242.5,176.6205389657684,5.17964947120121,0.6821548851215913,0.3178451148784087,416,1
2021,중구,1102055,명동,77.0,66.0,33.0,136.0,312.0,764.0,380.0,497.38219895287955,6.21136725044872,0.9056841002827516,0.09431589971724841,423,1
2021,중구,1102057,필동,32.0,23.0,7.0,19.0,81.0,901.0,86.0,95.44950055493895,4.569019561058797,0.5498574416602446,0.45014255833975536,399,1
2021,중구,1102058,장충동,13.0,8.0,1.0,5.0,27.0,861.0,26.5,30.778164924506388,3.458779416348434,0.3093157807725883,0.6906842192274116,246,3
2021,중구,1102059,광희동,40.0,109.0,16.0,29.0,194.0,1123.0,170.0,151.38023152270702,5.02637892042097,0.6489476974464754,0.3510523025535246,415,1
2021,중구,1102060,을지로동,30.0,59.0,13.0,46.0,148.0,472.0,154.5,327.3305084745763,5.794020748836235,0.8152629232591904,0.18473707674080964,422,1
2021,중구,1102065,신당5동,10.0,17.0,5.0,20.0,52.0,1824.0,58.5,32.07236842105263,3.498698142846299,0.3179644653099516,0.6820355346900484,258,2
2021,중구,1102067,황학동,11.0,100.0,8.0,19.0,138.0,2034.0,105.5,51.86823992133727,3.9678027790054355,0.41959942135926265,0.5804005786407374,353,1
2021,중구,1102068,중림동,11.0,22.0,5.0,14.0,52.0,2077.0,53.0,25.51757342320655,3.277807661252203,0.2701069242454646,0.7298930757545354,195,3
2021,중구,1102069,신당동,28.0,66.0,10.0,21.0,125.0,1471.0,112.5,76.47858599592114,4.350001588448685,0.5024055933849985,0.49759440661500154,387,1
2021,중구,1102070,다산동,14.0,26.0,8.0,31.0,79.0,2762.0,89.5,32.404055032585084,3.5086773007745107,0.32012652298166233,0.6798734770183377,264,2
2021,중구,1102071,약수동,11.0,25.0,11.0,34.0,81.0,3823.0,96.5,25.24195657860319,3.26735952602943,0.2678432592071947,0.7321567407928053,188,3
2021,중구,1102072,청구동,6.0,14.0,2.0,9.0,31.0,2721.0,30.5,11.209114296214626,2.502182746278956,0.10206210424646865,0.8979378957535313,24,5
2021,중구,1102073,동화동,9.0,15.0,5.0,14.0,43.0,1894.0,47.5,25.079197465681098,3.2611379645635536,0.26649531233691914,0.7335046876630809,183,3
