기준연도,자치구명,행정동코드,행정동명,convenience_count,grocery_count,pharmacy_count,medical_count,total_infra_count
2021,강남구,11680660,개포1동,1.0,9.0,1.0,5.0,16.0
2021,강남구,11680670,개포2동,17.0,34.0,9.0,37.0,97.0
2021,강남구,11680675,개포3동,6.0,13.0,7.0,23.0,49.0
2021,강남구,11680690,개포4동,27.0,29.0,9.0,34.0,99.0
2021,강남구,11680521,논현1동,72.0,59.0,49.0,287.0,467.0
2021,강남구,11680531,논현2동,64.0,36.0,29.0,158.0,287.0
2021,강남구,11680600,대치1동,18.0,34.0,16.0,89.0,157.0
2021,강남구,11680610,대치2동,47.0,52.0,17.0,75.0,191.0
2021,강남구,11680630,대치4동,53.0,39.0,19.0,87.0,198.0
2021,강남구,11680655,도곡1동,23.0,20.0,18.0,66.0,127.0
2021,강남구,11680656,도곡2동,17.0,17.0,7.0,29.0,70.0
2021,강남구,11680580,삼성1동,53.0,32.0,17.0,82.0,184.0
2021,강남구,11680590,삼성2동,53.0,45.0,16.0,90.0,204.0
2021,강남구,11680700,세곡동,20.0,37.0,9.0,31.0,97.0
2021,강남구,11680750,수서동,19.0,10.0,11.0,36.0,76.0
2021,강남구,11680510,신사동,39.0,42.0,47.0,373.0,501.0
2021,강남구,11680545,압구정동,46.0,48.0,36.0,307.0,437.0
2021,강남구,11680640,역삼1동,173.0,88.0,70.0,441.0,772.0
2021,강남구,11680650,역삼2동,54.0,56.0,30.0,106.0,246.0
2021,강남구,11680730,일원1동,10.0,22.0,13.0,31.0,76.0
2021,강남구,11680720,일원본동,12.0,17.0,15.0,15.0,59.0
2021,강남구,11680565,청담동,59.0,41.0,28.0,240.0,368.0
2021,강동구,11740515,강일동,22.0,32.0,10.0,29.0,93.0
2021,강동구,11740550,고덕1동,9.0,22.0,2.0,11.0,44.0
2021,강동구,11740560,고덕2동,12.0,34.0,9.0,30.0,85.0
2021,강동구,11740685,길동,49.0,113.0,33.0,107.0,302.0
2021,강동구,11740690,둔촌1동,24.0,9.0,0.0,1.0,34.0
2021,강동구,11740700,둔촌2동,21.0,36.0,17.0,23.0,97.0
2021,강동구,11740530,명일1동,18.0,64.0,17.0,79.0,178.0
2021,강동구,11740540,명일2동,17.0,22.0,22.0,49.0,110.0
2021,강동구,11740525,상일1동,19.0,34.0,6.0,20.0,79.0
2021,강동구,11740526,상일2동,7.0,5.0,3.0,6.0,21.0
2021,강동구,11740640,성내1동,20.0,34.0,9.0,30.0,93.0
2021,강동구,11740650,성내2동,20.0,61.0,12.0,44.0,137.0
2021,강동구,11740660,성내3동,24.0,63.0,17.0,83.0,187.0
2021,강동구,11740570,암사1동,27.0,79.0,9.0,31.0,146.0
2021,강동구,11740580,암사2동,7.0,27.0,7.0,28.0,69.0
2021,강동구,11740590,암사3동,4.0,20.0,5.0,12.0,41.0
2021,강동구,11740600,천호1동,20.0,55.0,15.0,31.0,121.0
2021,강동구,11740610,천호2동,46.0,67.0,26.0,102.0,241.0
2021,강동구,11740620,천호3동,26.0,45.0,16.0,44.0,131.0
2021,강북구,11305535,미아동,31.0,42.0,13.0,45.0,131.0
2021,강북구,11305595,번1동,31.0,46.0,13.0,48.0,138.0
2021,강북구,11305603,번2동,9.0,11.0,6.0,8.0,34.0
2021,강북구,11305608,번3동,11.0,18.0,5.0,14.0,48.0
2021,강북구,11305575,삼각산동,13.0,42.0,8.0,29.0,92.0
2021,강북구,11305534,삼양동,11.0,42.0,13.0,40.0,106.0
2021,강북구,11305545,송중동,23.0,54.0,16.0,55.0,148.0
2021,강북구,11305555,송천동,24.0,53.0,20.0,52.0,149.0
2021,강북구,11305615,수유1동,27.0,101.0,16.0,23.0,167.0
2021,강북구,11305625,수유2동,21.0,47.0,14.0,19.0,101.0
2021,강북구,11305635,수유3동,34.0,84.0,16.0,68.0,202.0
2021,강북구,11305645,우이동,23.0,46.0,9.0,14.0,92.0
2021,강북구,11305660,인수동,25.0,60.0,13.0,19.0,117.0
2021,강서구,11500603,가양1동,74.0,59.0,24.0,101.0,258.0
2021,강서구,11500604,가양2동,7.0,9.0,8.0,31.0,55.0
2021,강서구,11500605,가양3동,9.0,7.0,3.0,9.0,28.0
2021,강서구,11500620,공항동,39.0,56.0,14.0,28.0,137.0
2021,강서구,11500520,등촌1동,34.0,20.0,14.0,43.0,111.0
2021,강서구,11500530,등촌2동,13.0,22.0,6.0,15.0,56.0
2021,강서구,11500535,등촌3동,30.0,46.0,19.0,60.0,155.0
2021,강서구,11500611,발산1동,44.0,148.0,35.0,95.0,322.0
2021,강서구,11500630,방화1동,42.0,103.0,19.0,72.0,236.0
2021,강서구,11500640,방화2동,33.0,44.0,9.0,20.0,106.0
2021,강서구,11500641,방화3동,16.0,15.0,5.0,11.0,47.0
2021,강서구,11500510,염창동,24.0,42.0,13.0,39.0,118.0
2021,강서구,11500615,우장산동,22.0,48.0,13.0,50.0,133.0
2021,강서구,11500540,화곡1동,59.0,67.0,27.0,76.0,229.0
2021,강서구,11500550,화곡2동,11.0,30.0,4.0,15.0,60.0
2021,강서구,11500560,화곡3동,15.0,30.0,8.0,46.0,99.0
2021,강서구,11500570,화곡4동,18.0,71.0,13.0,34.0,136.0
2021,강서구,11500591,화곡6동,31.0,33.0,8.0,29.0,101.0
2021,강서구,11500593,화곡8동,14.0,74.0,8.0,36.0,132.0
2021,강서구,11500590,화곡본동,28.0,53.0,10.0,29.0,120.0
2021,관악구,11620585,낙성대동,23.0,13.0,10.0,34.0,80.0
2021,관악구,11620775,난곡동,15.0,39.0,11.0,32.0,97.0
2021,관악구,11620715,난향동,4.0,24.0,5.0,9.0,42.0
2021,관악구,11620630,남현동,21.0,17.0,8.0,26.0,72.0
2021,관악구,11620735,대학동,35.0,33.0,14.0,22.0,104.0
2021,관악구,11620765,미성동,21.0,54.0,13.0,36.0,124.0
2021,관악구,11620525,보라매동,14.0,43.0,7.0,23.0,87.0
2021,관악구,11620745,삼성동,7.0,70.0,8.0,12.0,97.0
2021,관악구,11620665,서림동,24.0,23.0,5.0,15.0,67.0
2021,관악구,11620645,서원동,27.0,27.0,7.0,31.0,92.0
2021,관악구,11620565,성현동,9.0,17.0,3.0,20.0,49.0
2021,관악구,11620695,신림동,37.0,48.0,22.0,58.0,165.0
2021,관악구,11620685,신사동,30.0,66.0,10.0,27.0,133.0
2021,관악구,11620655,신원동,10.0,69.0,7.0,16.0,102.0
2021,관악구,11620605,은천동,19.0,51.0,8.0,29.0,107.0
2021,관악구,11620625,인헌동,24.0,57.0,15.0,43.0,139.0
2021,관악구,11620725,조원동,19.0,62.0,11.0,32.0,124.0
2021,관악구,11620615,중앙동,18.0,15.0,13.0,54.0,100.0
2021,관악구,11620595,청룡동,46.0,61.0,25.0,58.0,190.0
2021,관악구,11620545,청림동,6.0,16.0,4.0,8.0,34.0
2021,관악구,11620575,행운동,32.0,51.0,14.0,51.0,148.0
2021,광진구,11215810,광장동,19.0,30.0,9.0,26.0,84.0
2021,광진구,11215850,구의1동,27.0,26.0,9.0,28.0,90.0
2021,광진구,11215860,구의2동,20.0,41.0,11.0,31.0,103.0
2021,광진구,11215870,구의3동,25.0,43.0,17.0,53.0,138.0
2021,광진구,11215730,군자동,26.0,38.0,13.0,35.0,112.0
2021,광진구,11215780,능동,20.0,19.0,6.0,19.0,64.0
2021,광진구,11215820,자양1동,27.0,67.0,14.0,50.0,158.0
2021,광진구,11215830,자양2동,23.0,27.0,10.0,25.0,85.0
2021,광진구,11215840,자양3동,25.0,29.0,10.0,30.0,94.0
2021,광진구,11215847,자양4동,27.0,70.0,14.0,45.0,156.0
2021,광진구,11215740,중곡1동,13.0,69.0,13.0,29.0,124.0
2021,광진구,11215750,중곡2동,26.0,40.0,14.0,45.0,125.0
2021,광진구,11215760,중곡3동,16.0,26.0,10.0,22.0,74.0
2021,광진구,11215770,중곡4동,22.0,70.0,8.0,32.0,132.0
2021,광진구,11215710,화양동,59.0,45.0,17.0,57.0,178.0
2021,구로구,11530595,가리봉동,13.0,71.0,7.0,9.0,100.0
2021,구로구,11530740,개봉1동,20.0,71.0,12.0,34.0,137.0
2021,구로구,11530750,개봉2동,14.0,35.0,8.0,40.0,97.0
2021,구로구,11530760,개봉3동,9.0,28.0,9.0,19.0,65.0
2021,구로구,11530720,고척1동,20.0,37.0,12.0,32.0,101.0
2021,구로구,11530730,고척2동,26.0,55.0,11.0,36.0,128.0
2021,구로구,11530520,구로1동,9.0,14.0,3.0,6.0,32.0
2021,구로구,11530530,구로2동,31.0,122.0,27.0,48.0,228.0
2021,구로구,11530540,구로3동,72.0,54.0,16.0,64.0,206.0
2021,구로구,11530550,구로4동,20.0,117.0,17.0,49.0,203.0
2021,구로구,11530560,구로5동,25.0,42.0,14.0,40.0,121.0
2021,구로구,11530790,수궁동,22.0,42.0,5.0,12.0,81.0
2021,구로구,11530510,신도림동,21.0,22.0,10.0,34.0,87.0
2021,구로구,11530770,오류1동,17.0,45.0,9.0,33.0,104.0
2021,구로구,11530780,오류2동,26.0,46.0,9.0,28.0,109.0
2021,구로구,11530800,항동,10.0,23.0,3.0,8.0,44.0
2021,금천구,11545510,가산동,125.0,72.0,26.0,79.0,302.0
2021,금천구,11545610,독산1동,47.0,78.0,16.0,44.0,185.0
2021,금천구,11545620,독산2동,15.0,42.0,9.0,22.0,88.0
2021,금천구,11545630,독산3동,19.0,97.0,16.0,36.0,168.0
2021,금천구,11545640,독산4동,15.0,36.0,3.0,8.0,62.0
2021,금천구,11545670,시흥1동,36.0,134.0,25.0,83.0,278.0
2021,금천구,11545680,시흥2동,2.0,10.0,4.0,8.0,24.0
2021,금천구,11545690,시흥3동,11.0,15.0,6.0,6.0,38.0
2021,금천구,11545700,시흥4동,13.0,35.0,6.0,17.0,71.0
2021,금천구,11545710,시흥5동,19.0,62.0,14.0,21.0,116.0
2021,노원구,11350595,공릉1동,36.0,63.0,23.0,58.0,180.0
2021,노원구,11350600,공릉2동,38.0,46.0,12.0,32.0,128.0
2021,노원구,11350720,상계10동,5.0,10.0,1.0,6.0,22.0
2021,노원구,11350630,상계1동,26.0,58.0,12.0,39.0,135.0
2021,노원구,11350640,상계2동,30.0,58.0,20.0,68.0,176.0
2021,노원구,11350665,상계3.4동,16.0,48.0,9.0,23.0,96.0
2021,노원구,11350670,상계5동,19.0,52.0,11.0,20.0,102.0
2021,노원구,11350695,상계6.7동,25.0,36.0,33.0,163.0,257.0
2021,노원구,11350700,상계8동,5.0,12.0,7.0,28.0,52.0
2021,노원구,11350710,상계9동,9.0,17.0,6.0,24.0,56.0
2021,노원구,11350560,월계1동,29.0,39.0,9.0,33.0,110.0
2021,노원구,11350570,월계2동,16.0,20.0,6.0,10.0,52.0
2021,노원구,11350580,월계3동,9.0,24.0,8.0,10.0,51.0
2021,노원구,11350621,중계1동,13.0,29.0,9.0,34.0,85.0
2021,노원구,11350625,중계2.3동,9.0,26.0,10.0,28.0,73.0
2021,노원구,11350624,중계4동,10.0,13.0,10.0,20.0,53.0
2021,노원구,11350619,중계본동,16.0,37.0,8.0,31.0,92.0
2021,노원구,11350611,하계1동,15.0,23.0,11.0,15.0,64.0
2021,노원구,11350612,하계2동,5.0,12.0,4.0,8.0,29.0
2021,도봉구,11320521,도봉1동,24.0,73.0,9.0,21.0,127.0
2021,도봉구,11320522,도봉2동,13.0,33.0,6.0,14.0,66.0
2021,도봉구,11320690,방학1동,25.0,61.0,13.0,55.0,154.0
2021,도봉구,11320700,방학2동,17.0,73.0,7.0,15.0,112.0
2021,도봉구,11320710,방학3동,12.0,18.0,6.0,18.0,54.0
2021,도봉구,11320660,쌍문1동,18.0,41.0,3.0,11.0,73.0
2021,도봉구,11320670,쌍문2동,17.0,27.0,7.0,30.0,81.0
